Graph,Vertices,Edges,Solver,Time elapsed,Memory usage,Success,Colors
rgg_n_2_21_s0.graph.fast,2097152,28997942,SequentialSolver,3537.92,8.13,1,20
rgg_n_2_21_s0.graph.fast,2097152,28997942,LubySolver (1 threads),22606.08,36.82,1,21
rgg_n_2_21_s0.graph.fast,2097152,28997942,LubySolver (2 threads),20041.99,8.82,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,LubySolver (4 threads),18222.99,16.51,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,JonesSolver (1 threads),1979.10,0.00,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,JonesSolver (2 threads),1352.76,0.00,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,JonesSolver (4 threads),1179.30,8.00,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,SDLSolver (1 threads),1936.22,11.50,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,SDLSolver (2 threads),1079.67,5.75,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,SDLSolver (4 threads),830.72,12.75,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,LDFSolver (1 threads),2134.10,9.00,1,20
rgg_n_2_21_s0.graph.fast,2097152,28997942,LDFSolver (2 threads),1111.51,0.00,1,20
rgg_n_2_21_s0.graph.fast,2097152,28997942,LDFSolver (4 threads),872.44,8.00,1,20
rgg_n_2_21_s0.graph.fast,2097152,28997942,FVFSolver (1 threads),1397.42,0.00,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,FVFSolver (2 threads),713.71,0.00,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,FVFSolver (4 threads),641.73,8.00,1,22
rgg_n_2_21_s0.graph.fast,2097152,28997942,RandomSelectionSolver (1 threads),3606.47,5.00,1,20
rgg_n_2_21_s0.graph.fast,2097152,28997942,RandomSelectionSolver (2 threads),1807.10,0.00,1,20
rgg_n_2_21_s0.graph.fast,2097152,28997942,RandomSelectionSolver (4 threads),1160.03,8.00,1,20
rgg_n_2_22_s0.graph.fast,4194304,60740255,SequentialSolver,7867.92,8.13,1,23
rgg_n_2_22_s0.graph.fast,4194304,60740255,LubySolver (1 threads),49635.24,61.17,1,21
rgg_n_2_22_s0.graph.fast,4194304,60740255,LubySolver (2 threads),42810.77,19.81,1,21
rgg_n_2_22_s0.graph.fast,4194304,60740255,LubySolver (4 threads),40127.93,17.01,1,23
rgg_n_2_22_s0.graph.fast,4194304,60740255,JonesSolver (1 threads),4220.45,0.00,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,JonesSolver (2 threads),2830.96,0.00,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,JonesSolver (4 threads),2490.80,8.00,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,SDLSolver (1 threads),4117.63,23.50,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,SDLSolver (2 threads),2151.62,10.00,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,SDLSolver (4 threads),1791.36,18.50,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,LDFSolver (1 threads),4520.91,12.00,1,21
rgg_n_2_22_s0.graph.fast,4194304,60740255,LDFSolver (2 threads),2361.10,6.00,1,21
rgg_n_2_22_s0.graph.fast,4194304,60740255,LDFSolver (4 threads),1869.05,8.00,1,21
rgg_n_2_22_s0.graph.fast,4194304,60740255,FVFSolver (1 threads),2900.78,0.00,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,FVFSolver (2 threads),1504.82,0.00,1,22
rgg_n_2_22_s0.graph.fast,4194304,60740255,FVFSolver (4 threads),1271.80,8.00,1,22
